Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;70111;CALMOUTIER;RSA seul;0;0
2020-12;70112;CEMBOING;RSA seul;0;0
2020-12;70116;CHAGEY;RSA seul;5;10
2020-12;70122;CHAMPLITTE;RSA seul;15;30
2020-12;70126;CHANCEY;RSA seul;5;10
2020-12;70130;CHARCENNE;RSA seul;0;0
2020-12;69137;MONTMELAS SAINT SORLIN;RSA seul;5;5
2020-12;66177;SAINT JEAN LASSEILLE;RSA seul;25;45
2020-12;66189;SALEILLES;RSA seul;95;180
2020-12;66190;SALSES LE CHATEAU;RSA seul;105;215
2020-12;66196;SOREDE;RSA seul;60;105
2020-12;66199;TAILLET;RSA seul;5;5
2020-12;66203;TAULIS;RSA seul;0;0
2020-12;66204;TAURINYA;RSA seul;10;20
2020-12;66213;TOULOUGES;RSA seul;155;300
2020-12;66227;VILLENEUVE DE LA RAHO;RSA seul;70;125
2020-12;67001;ACHENHEIM;RSA seul;15;30
2020-12;67004;SOMMERAU;RSA seul;5;10
2020-12;67005;ALTECKENDORF;RSA seul;5;10
2020-12;67017;BAERENDORF;RSA seul;0;0
2020-12;67020;BAREMBACH;RSA seul;5;5
2020-12;67028;BENFELD;RSA seul;85;180
2020-12;67029;BERG;RSA seul;5;5
2020-12;67031;BERNARDSWILLER;RSA seul;5;15
2020-12;67033;BERNOLSHEIM;RSA seul;5;10
2020-12;67034;BERSTETT;RSA seul;15;25
2020-12;67062;BREITENAU;RSA seul;5;5
2020-12;67065;BREUSCHWICKERSHEIM;RSA seul;5;10
2020-12;67068;BUSWILLER;RSA seul;0;0
2020-12;67078;CRASTATT;RSA seul;0;0
2020-12;68072;DIETWILLER;RSA seul;5;10
2020-12;68073;DOLLEREN;RSA seul;5;10
2020-12;68074;DURLINSDORF;RSA seul;5;5
2020-12;68089;FELLERING;RSA seul;15;40
2020-12;68107;GOMMERSDORF;RSA seul;0;0
2020-12;68147;HUNAWIHR;RSA seul;0;0
2020-12;69036;CERCIE;RSA seul;5;10
2020-12;69042;LA CHAPELLE SUR COISE;RSA seul;0;0
2020-12;69043;CHAPONOST;RSA seul;75;140
2020-12;69044;CHARBONNIERES LES BAINS;RSA seul;40;70
2020-12;69046;CHARLY;RSA seul;25;40
2020-12;69051;CHAUSSAN;RSA seul;5;10
2020-12;69055;LES CHERES;RSA seul;15;25
2020-12;69063;COLLONGES AU MONT D OR;RSA seul;40;80
2020-12;69070;CUBLIZE;RSA seul;15;40
2020-12;69074;DENICE;RSA seul;5;15
2020-12;69082;EMERINGES;RSA seul;0;0
2020-12;69085;FLEURIEU SUR SAONE;RSA seul;10;15
2020-12;69087;FONTAINES SAINT MARTIN;RSA seul;50;115
2020-12;69088;FONTAINES SUR SAONE;RSA seul;120;245
2020-12;69098;LES HALLES;RSA seul;5;10
