"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"LVB";"A";"93";"DEP";"D";2017;28951
"LVB_CUMR";"A";"07";"DEP";"D";2020;210
"LVB_CUMR";"A";"19";"DEP";"D";2020;162
"LVB";"A";"38";"DEP";"PROV";2025;11855
"LVB";"M";"30";"DEP";"D";2021-11;655
"LVB";"M";"81";"DEP";"D";2024-05;264
"LVB";"M";"68";"DEP";"PROV";2025-02;525
"LVB";"A";"05";"DEP";"D";2021;1282
"LVB";"M";"15";"DEP";"PROV";2025-10;61
"LVB";"M";"F";"FRANCE";"D";2022-09;60181
"LVB_CUMR";"A";"17";"DEP";"D";2017;397
"LVB_CUMR";"A";"02";"DEP";"D";2019;491
"LVB";"M";"95";"DEP";"D";2021-10;1712
"LVB";"M";"38";"DEP";"D";2024-05;1049
"LVB";"M";"24";"DEP";"D";2021-05;260
"LVB";"M";"07";"DEP";"D";2021-07;264
"LVB";"M";"81";"DEP";"D";2021-03;284
"LVB";"M";"99";"OTHER";"PROV";2025-05;65
"LVB";"M";"68";"DEP";"D";2021-09;616
"LVB";"M";"16";"DEP";"D";2023-05;252
"LVB";"M";"2A";"DEP";"PROV";2025-05;70
"LVB";"M";"05";"DEP";"PROV";2025-03;93
"LVB_MEAN1";"M";"F";"FRANCE";"D";2021-03;1982
"LVB";"A";"15";"DEP";"D";2021;1039
"LVB";"M";"25";"DEP";"PROV";2025-01;377
"LVB_CUMR";"A";"93";"DEP";"D";2021;1774
"LVB";"A";"40";"DEP";"D";2017;3390
"LVB";"M";"12";"DEP";"D";2024-02;165
"LVB";"M";"82";"DEP";"D";2023-10;179
"LVB";"M";"71";"DEP";"D";2024-08;357
"LVB";"A";"19";"DEP";"D";2024;1614
"LVB";"M";"93";"DEP";"D";2023-11;2214
"LVB";"M";"27";"DEP";"PROV";2026-01;428
"LVB_CUMR";"A";"16";"DEP";"D";2019;248
"LVB";"M";"976";"DEP";"PROV";2025-02;742
"LVB";"M";"06";"DEP";"D";2021-06;887
"LVB";"M";"04";"DEP";"PROV";2025-11;107
"LVB";"A";"42";"DEP";"D";2024;7304
"LVB";"M";"68";"DEP";"D";2023-07;565
"LVB";"M";"79";"DEP";"D";2022-12;243
"LVB";"M";"23";"DEP";"D";2023-07;56
"LVB_CUMR";"A";"12";"DEP";"D";2024;160
"LVB";"M";"14";"DEP";"D";2022-03;568
"LVB";"M";"83";"DEP";"D";2021-06;830
"LVB";"M";"93";"DEP";"D";2021-02;1926
"LVB";"A";"974";"DEP";"PROV";2025;11790
"LVB";"M";"03";"DEP";"D";2023-02;194
"LVB";"M";"29";"DEP";"D";2024-10;605
"LVB";"M";"69";"DEP";"D";2023-04;1691
"LVB";"M";"36";"DEP";"PROV";2025-06;138
"LVB";"M";"11";"DEP";"D";2023-08;255
"LVB";"M";"18";"DEP";"D";2021-07;252
"LVB";"M";"83";"DEP";"D";2022-02;829
"LVB";"M";"05";"DEP";"D";2024-12;86
"LVB";"M";"23";"DEP";"D";2022-09;54
"LVB";"M";"F";"FRANCE";"D";2024-09;55232
"LVB";"M";"72";"DEP";"D";2024-10;437
"LVB";"M";"92";"DEP";"PROV";2025-05;1653
"LVB_CUMR";"A";"2B";"DEP";"D";2020;124
"LVB";"M";"40";"DEP";"D";2024-04;252
"LVB";"M";"F";"FRANCE";"D";2022-04;57666
"LVB";"M";"07";"DEP";"D";2024-08;217
"LVB";"M";"972";"DEP";"D";2021-05;248
"LVB";"M";"39";"DEP";"D";2021-11;199
"LVB";"M";"13";"DEP";"D";2024-01;1945
"LVB";"M";"81";"DEP";"D";2022-12;282
"LVB";"M";"23";"DEP";"D";2024-07;63
"LVB";"M";"69";"DEP";"D";2022-07;2079
"LVB";"M";"06";"DEP";"D";2024-04;736
"LVB";"M";"F";"FRANCE";"D";2023-07;59250
"LVB";"M";"2B";"DEP";"D";2023-11;98
"LVB";"M";"39";"DEP";"D";2024-08;166
"LVB_CUMR";"A";"10";"DEP";"D";2023;247
"LVB";"M";"93";"DEP";"PROV";2025-11;1927
"LVB";"M";"13";"DEP";"D";2022-09;2085
"LVB";"A";"70";"DEP";"D";2019;2044
"LVB";"M";"93";"DEP";"D";2022-07;2304
"LVB";"M";"84";"DEP";"D";2021-10;536
"LVB";"M";"22";"DEP";"D";2024-04;400
"LVB";"M";"05";"DEP";"D";2021-04;101
"LVB";"M";"67";"DEP";"PROV";2025-04;771
"LVB";"M";"F";"FRANCE";"PROV";2025-07;57262
"LVB";"M";"28";"DEP";"D";2021-04;414
"LVB";"M";"F";"FRANCE";"D";2023-02;52667
"LVB";"M";"36";"DEP";"PROV";2025-11;135
"LVB";"A";"12";"DEP";"D";2024;1869
"LVB";"M";"85";"DEP";"D";2022-02;436
"LVB";"M";"13";"DEP";"D";2022-07;2286
"LVB";"M";"93";"DEP";"D";2024-06;2012
"LVB";"M";"71";"DEP";"D";2022-06;380
"LVB";"M";"24";"DEP";"D";2021-02;205
"LVB_MEAN1";"M";"F";"FRANCE";"PROV";2026-01;1751
"LVB";"M";"2A";"DEP";"PROV";2025-01;87
"LVB";"M";"01";"DEP";"PROV";2025-07;572
"LVB";"M";"38";"DEP";"D";2024-11;985
"LVB";"A";"09";"DEP";"D";2020;1196
"LVB";"M";"972";"DEP";"D";2021-03;256
"LVB";"M";"80";"DEP";"PROV";2025-04;426
"LVB";"M";"16";"DEP";"D";2022-08;262
"LVB";"A";"92";"DEP";"D";2022;20475
"LVB";"M";"70";"DEP";"D";2023-01;152
"LVB_CUMR";"A";"40";"DEP";"D";2024;263
"LVB";"M";"27";"DEP";"D";2023-08;520
"LVB";"M";"21";"DEP";"D";2024-02;330
"LVB";"M";"69";"DEP";"D";2024-12;1756
"LVB";"A";"99";"OTHER";"D";2024;1056
