Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;22103;LANGROLAY SUR RANCE;RSA seul;0;0
2024-12;22107;BON REPOS SUR BLAVET;RSA seul;10;20
2024-12;22113;LANNION;RSA seul;380;640
2024-12;22116;LANRODEC;RSA seul;5;10
2024-12;22118;LANVALLAY;RSA seul;40;65
2024-12;22124;LESCOUET GOUAREC;RSA seul;5;10
2024-12;22134;LOUANNEC;RSA seul;10;20
2024-12;22135;LOUARGAT;RSA seul;20;35
2024-12;22138;MAEL PESTIVIEN;RSA seul;15;30
2024-12;22139;MAGOAR;RSA seul;5;10
2024-12;22144;LA MEAUGON;RSA seul;15;35
2024-12;22147;MERDRIGNAC;RSA seul;45;85
2024-12;22156;MOUSTERU;RSA seul;10;20
2024-12;22158;GUERLEDAN;RSA seul;30;65
2024-12;22168;PERROS GUIREC;RSA seul;75;110
2024-12;22171;PLAINTEL;RSA seul;30;75
2024-12;22175;PLEDELIAC;RSA seul;5;10
2024-12;22178;PLEHEDEL;RSA seul;10;15
2024-12;22179;FREHEL;RSA seul;5;15
2024-12;22183;PLEMET;RSA seul;50;130
2024-12;22188;PLERNEUF;RSA seul;10;15
2024-12;22197;PLEUDIHEN SUR RANCE;RSA seul;15;15
2024-12;22204;PLOEZAL;RSA seul;20;40
2024-12;22205;PLOREC SUR ARGUENON;RSA seul;0;0
2024-12;22208;PLOUASNE;RSA seul;15;30
2024-12;22210;PLOUBAZLANEC;RSA seul;30;45
2024-12;22213;PLOUER SUR RANCE;RSA seul;25;30
2024-12;22215;PLOUFRAGAN;RSA seul;200;445
2024-12;22220;PLOUGUERNEVEL;RSA seul;25;45
2024-12;22224;PLOULEC H;RSA seul;10;20
2024-12;22228;PLOUNEVEZ MOEDEC;RSA seul;20;50
2024-12;22235;PLOUZELAMBRE;RSA seul;5;5
2024-12;22237;PLUDUNO;RSA seul;10;15
2024-12;22248;POMMERIT LE VICOMTE;RSA seul;15;20
2024-12;26205;MONTMAUR EN DIOIS;RSA seul;0;0
2024-12;26209;MONTREAL LES SOURCES;RSA seul;0;0
2024-12;26216;SAINT JEAN DE GALAURE;RSA seul;10;20
2024-12;26223;ORIOL EN ROYANS;RSA seul;5;10
2024-12;26224;OURCHES;RSA seul;5;5
2024-12;26231;PEYRINS;RSA seul;20;40
2024-12;26235;PIERRELATTE;RSA seul;225;430
2024-12;26238;LES PILLES;RSA seul;5;10
2024-12;26243;LE POET LAVAL;RSA seul;10;20
2024-12;26246;PONET ET SAINT AUBAN;RSA seul;5;5
2024-12;26247;PONSAS;RSA seul;5;5
2024-12;26251;PORTES EN VALDAINE;RSA seul;0;0
2024-12;26263;REILHANETTE;RSA seul;0;0
2024-12;26264;REMUZAT;RSA seul;5;5
2024-12;26267;RIOMS;RSA seul;0;0
2024-12;26273;ROCHEFORT SAMSON;RSA seul;0;0
2024-12;26275;ROCHEGUDE;RSA seul;10;15
2024-12;26288;SAHUNE;RSA seul;5;5
2024-12;26294;SAINT BARDOUX;RSA seul;5;15
2024-12;26298;SAINT CHRISTOPHE ET LE LARIS;RSA seul;5;15
2024-12;26301;SAINT DONAT SUR L HERBASSE;RSA seul;45;90
2024-12;26302;SAINTE EULALIE EN ROYANS;RSA seul;5;5
2024-12;26307;SAINT JEAN EN ROYANS;RSA seul;40;65
2024-12;26313;SAINT MARCEL LES VALENCE;RSA seul;60;145
2024-12;26315;SAINT MARTIN EN VERCORS;RSA seul;5;5
2024-12;26318;SAINT MAY;RSA seul;0;0
2024-12;26325;SAINT RAMBERT D ALBON;RSA seul;90;200
2024-12;26326;SAINT RESTITUT;RSA seul;5;5
2024-12;26330;SAINT SORLIN EN VALLOIRE;RSA seul;15;30
2024-12;26331;SAINT THOMAS EN ROYANS;RSA seul;5;5
2024-12;26333;SAINT VALLIER;RSA seul;120;280
2024-12;26334;SALETTES;RSA seul;0;0
2024-12;26337;SAULCE SUR RHONE;RSA seul;20;35
2024-12;26340;SEDERON;RSA seul;10;20
2024-12;26344;SOYANS;RSA seul;0;0
2024-12;26347;TAIN L HERMITAGE;RSA seul;75;140
2024-12;26352;LA TOUCHE;RSA seul;0;0
2024-12;26377;VINSOBRES;RSA seul;15;25
2024-12;26379;GRANGES LES BEAUMONT;RSA seul;5;5
2024-12;27003;ACQUIGNY;RSA seul;30;60
2024-12;27015;ANDE;RSA seul;5;10
2024-12;27017;ANGERVILLE LA CAMPAGNE;RSA seul;10;25
2024-12;27018;APPEVILLE ANNEBAULT;RSA seul;5;5
2024-12;27020;ARNIERES SUR ITON;RSA seul;20;40
2024-12;27033;BACQUEPUIS;RSA seul;0;0
2024-12;27037;BARC;RSA seul;5;10
2024-12;26072;CHANTEMERLE LES BLES;RSA seul;10;15
2024-12;26077;CHARMES SUR L HERBASSE;RSA seul;5;10
2024-12;26083;CHATEAUNEUF DE GALAURE;RSA seul;10;25
2024-12;26086;CHATILLON EN DIOIS;RSA seul;10;15
2024-12;26088;CHATUZANGE LE GOUBET;RSA seul;35;60
2024-12;26090;LA CHAUDIERE;RSA seul;0;0
2024-12;26096;CLERIEUX;RSA seul;20;40
2024-12;26099;COLONZELLE;RSA seul;5;10
2024-12;26102;CONDILLAC;RSA seul;0;0
